Date	Time	Severity	PID	TID	Function	Message
09-06-2025	10:37:58.345	 INFO	164044	167580	DllMain	"DLL_PROCESS_ATTACH Tue Feb 18 16:37:38 2025 11.4.2512.2"
09-06-2025	10:37:58.354	 INFO	164044	167580	DllMain	"PROCESS ATTACHED"
09-06-2025	10:37:58.407	 INFO	164044	126796	LateInitialization	"Intialization..."
09-06-2025	10:37:58.409	 INFO	164044	126796	LoadDisplayDevicesName	"DisplayDevices : "
09-06-2025	10:37:58.412	 INFO	164044	126796	LoadDisplayDevicesName	"\\.\DISPLAY1"
09-06-2025	10:37:58.414	 INFO	164044	126796	LoadDisplayDevicesName	"\\.\DISPLAY2"
09-06-2025	10:37:58.415	 INFO	164044	126796	LoadDisplayDevicesName	"\\.\DISPLAY3"
09-06-2025	10:37:58.439	ERROR	164044	126796	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813"
09-06-2025	10:37:58.442	 INFO	164044	126796	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\sh.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 760953984
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
09-06-2025	10:37:58.458	 INFO	164044	126796	LateInitialization	"Intialization finished"
